ACCT-001,"We could not find account %d in this EDM."
FILE-017,"Sorry, we're having trouble with retrieving the following missing files: %s"
FILE-018,"Sorry, we're having trouble with uploading empty files: %s. Please check."
FILE-500,"Error occurred creating a new bucket"
FILE-504,"Error occurred deleting a bucket"
FILE-505,"Error occurred staging bucket %d"
FILE-506,"Error occurred checking if bucket %d exists"
FILE-507,"Error occurred checking bucket %d permissions"
FILE-508,"Sorry, there's something wrong with the import file. Check that file type is valid."
FILE-509,"Sorry, there's something wrong with the import file. Check that delimiter is valid."
FILE-510,"Error occurred creating a new file"
FILE-511,"Error occurred retrieving file %d"
FILE-512,"Error occurred searching for files"
FILE-513,"Sorry, there's something wrong with the mapping. Check that country code and resolution are supported."
FILE-514,"Sorry, missing or unsupported file extension for this input type."
FILE-515,"Error occurred checking if file %d exists"
FILE-520,"Error occurred inserting import file record"
FILE-521,"Error occurred reading import file records"
GE-001,"Invalid exposure type. Valid exposure types are ACCOUNT and PORTFOLIO. Exposure type given: %s"
GE-002,"Account bulk edit cannot be preformed on account exposure"
GE-003,"Validation failed: %s"
GE-004,"Some data types in the WHERE clause do not match the data types of the respective fields"
GE-005,"Some data types in the SET clause do not match the data types of the respective fields"
GE-501,"An unexpected error occurred while preforming bulk edit on account %d"
GEO_SERVICE-001,"You have provided an invalid geoHaz engine type: %s. Engine type must be RL or HD."
GEO_SERVICE-002,"You have provided an invalid data type for field: %s. Value must be true or false."
GEO_SERVICE-003,"Your input is missing the required layerOptions."
GEO_SERVICE-004,"Your input is missing property: %s for layerOptions."
GEO_SERVICE-005,"You have provided an invalid value for layerOptions property: %s. Enter 0 for engineType RL or 1 for engineType HD."
GEO_SERVICE-006,"You have provided an invalid geoHaz name: %s or version: %s for the engineType: %s. Only specific names and versions are valid."
GEO_SERVICE-007,"You have provided an invalid geoHaz type: %s. GeoHaz type must be geocode or hazard."
GETJOB-500,"Get job failed. Error: %s"
GETTASKS-500,"Get tasks failed. Error: %s"
GROUPING-001,"Sorry, we encountered an error running your grouping job. Contact Support at support@rms.com to resolve this issue."
GROUPING-002,"Invalid argument for %s"
GROUPING-003,"Group must contain at least one analysis"
GROUPING-004,"Invalid region code: %s"
GROUPING-006,"Invalid rate scheme data"
GROUPING-008,"%s is mapped to multiple rate scheme ids %s"
GROUPING-009,"Unable to load analysis %s"
GROUPING-010,"Unable to load analysis group with id: %s"
GROUPING-011,"Analysis %s is not a group"
GROUPING_DB-501,"Database error occurred while checking if group DB exists"
GROUPING_DB-502,"Database error occurred while deleting all with ID %d"
GROUPING_DB-503,"Database error occurred while inserting group DB detail"
HISTOGRAM-501,"Failed to get core configuration from Histogram DB"
HPC-001,"Unknown task type"
HPC-501,"Failed to create HPC job. Error: %s"
HPC-502,"Failed to create HPC task. Error: %s"
HPC-503,"Failed to submit HPC job. Error: %s"
HPC-504,"Failed to submit HPC job"
HPC-505,"Failed to get HPC job details. Response code: %d. Error: %s"
HPC-506,"Failed to get HPC job details"
HPC-507,"Failed to cancel HPC job. Response code: %d. Error: %s"
HPC-508,"Failed to cancel HPC job"
HPC-509,"Failed to set environment variables for HPC job"
HPC-510,"Failed to get HPC job task details"
HPC-511,"Failed to get HPC job task details. Response code: %d. Error: %s"
HPC-512,"Failed to check HPC job status. Failed after multiple retries"
IAM-001,"Credentials are required to access this resource"
IAM-002,"No databases found for user"
IAM-003,"User %d was not found"
IAM-004,"User group %d was not found"
IAM-005,"User reporting currency was not found for user %d"
IAM-500,"Internal error occurred retrieving user profile"
IAM-501,"Internal error occurred retrieving a user's databases"
IAM-502,"Error getting user information"
IAM-503,"Error occurred creating a new user token"
IAM-504,"Error occurred updating a user token"
IAM-505,"Error occurred deleting a user token"
IAM-506,"Error occurred validating a user token"
IAM-507,"Internal error occurred retrieving a user group information"
IAM-508,"Database error occurred while adding security log"
IAM-509,"Error occurred while encrypting string"
IAM-510,"The new password and confirmation password do not match"
IAM-511,"Error occurred updating a user password"
IAM-512,"Password cannot be null or empty"
IAM-513,"Password cannot be longer than 18 characters"
IAM-514,"Invalid user ID"
IAM-515,"Error occurred while retrieving list of tenant Ids"
IAM-516,"Error occurred while retrieving list of EDMs assigned to tenant"
IAM-517,"Database error occurred while saving Group DB Detail for DbId: %d"
IAM-518,"Database error occurred while retrieving Tenant EDM metrics"
IMP-001,"The account, location, and/or reinsurance file for this import is empty. Provide a valid file and try the import again."
IMP-002,"Sorry, we're having trouble reading one of the import files. Check the files and try again."
IMP-003,"Sorry, we're having trouble with this import file. It looks like the header row and the first row of the file have a different number of columns."
IMP-500,"Sorry, we encountered an error while performing this import. Try again, and contact Support if this still does not work."
IMP-501,"Error occurred validating import data"
IMP-502,"Error occurred extracting data from file %d"
IMP-503,"Error occurred creating the mapping file"
IMP-504,"Error occurred creating the account file"
IMP-505,"Sorry, it looks like there's a problem with the location file. Verify the account number and the selected delimiter, and try again."
IMPORT_STORE-401,"Database error occurred, IMPORT_STORE does not exists"
IMPORT_STORE-501,"Database error occurred while loading IMPORT_STOREs, reason : %s"
IMPORT_STORE-502,"Database error occurred while creating IMPORT_STORE, reason : %s"
IMPORT_STORE-503,"Database error occurred while updating IMPORT_STORE, reason : %s"
IMPORT_STORE-504,"Database error occurred while deleting IMPORT_STORE, reason : %s"
IMPORT_STORE-505,"Database error occurred duplicate IMPORT_STORE, IMPORT_STORE already exists"
IMPORT_STORE-506,"Validation error, IMPORT_STORE id cannot be null."
IMPORT_STORE-507,"Validation error, IMPORT_STORE id length has to be between 1 and 20."
IMPORT_STORE-508,"Validation error, IMPORT_STORE, some of the String field has exceeded allowed length."
IMPORT_STORE-509,"Could not parse URL, reason %s"
IMPORT_STORE-510,"Unknown DbType, only EDM or RDM DbType is supported"
IMPORT_STORE-511,"Validation error, file names must be named in a GUID format.  With an appropriate BAK, MDF, and LDF extension."
IMPORT_STORE-512,"Validation error, file names must share the same name with different extensions."
INFRA-001,"Submit job failed. Please resubmit job."
INT-400,"%s"
INT-404,"%s"
INT-409,"The X-RMS-RequestId :%s provided is currently being used in another request. This occurs if you are making duplicate requests simultaneously. Please retry after 10 seconds"
INT-500,"%s"
INT-501,"An internal parser error occurred, found an unknown value type"
INT-502,"An internal parser error occurred, error loading domain data for domain %s, tablespace %s, entity %s"
INT-999,"An unexpected error occurred"
JOB-001,"Job %d was not found"
JOB-002,"Unable to access job %d"
JOB-003,"Failed to cancel the Job Id %d. Error: %s"
JOB-500,"Database error occurred while retrieving execution status for Job Id: %d"
JOB-501,"Database error occurred while searching for jobs"
JOB-502,"Database error occurred while getting job Id %d"
JOB-503,"Database error occurred while checking if user is authorized to cancel job %d"
JOB-504,"Database error occurred while canceling job %d"
JOB-505,"Database error occurred while archiving job details for job id: %d"
JOB-506,"Database error occurred while retrieving job report message for JobId: %d, Service Id: %d"
JOB-507,"Database error occurred while retrieving job identifier for account id: %d"
JOB-508,"Database error occurred while retrieving job details for account id: %d"
JOB-509,"Database error occurred while retrieving services for account id: %d"
JOB-510,"Database error occurred while retrieving job report for Job Id: %d, Service Id: %d"
JOB-511,"Database error occurred while retrieving user details for Job Type: %s, Job Id: %d"
JOB-512,"Database error occurred while retrieving job status for Job Id: %d"
JOB-513,"Error occurred. Invalid job status found for Job Id: %d"
JOB-514,"Database error occurred while retrieving job id from commit queue for account Id: %d"
JOB-515,"Database error occurred while retrieving job status from commit queue for Job Id: %d"
JOB-516,"Database error occurred while searching for job monitoring records"
JOB-517,"Database error occurred deleting job monitoring record Id: %d"
KS-001,"The tenant id in a key and URL must match"
KS-003,"Operation not supported; The value should be CREATE, READ, UPDATE or DELETE only"
KS-004,"Key exists"
KS-005,"Key does not exist"
KS-006,"Value cannot be empty"
KS-007,"Key not found in baseline properties: %s"
KS-008,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still doesn't work."
KS-009,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still doesn't work."
LINE_OF_BUSINESS-401,"Database error occurred, line of business does not exists"
LINE_OF_BUSINESS-404,"%s"
LINE_OF_BUSINESS-406,"%s"
LINE_OF_BUSINESS-409,"%s"
LINE_OF_BUSINESS-501,"Database error occurred while loading line of business, reason : %s"
LINE_OF_BUSINESS-502,"Database error occurred while creating line of business, reason : %s"
LINE_OF_BUSINESS-503,"Database error occurred while updating line of business with Id: %s, reason : %s"
LINE_OF_BUSINESS-504,"Database error occurred while deleting line of business with Id: %s, reason : %s"
LINE_OF_BUSINESS-505,"Sorry, this LOB name already exists. Try using a different name."
LINE_OF_BUSINESS-506,"Validation error, line of business, the name field has exceeded allowed length."
LOC-001,"Location %d was not found"
LOC-002,"Account %d, for location %d, was not found"
LOC-003,"Do not have sufficient permission to location %d"
LOC-004,"The floors occupied exceed the number of stories. Change one of these values."
LOC-005,"Facultative cession layer information is mandatory when reinsurance cession is Facultative"
LOC-006,"Treaty information is mandatory when reinsurance cession is Treaty"
LOC-007,"Do not have sufficient permission on given locations"
LOC-008,"You must enter a value for at least one building or contents coverage for the combined coverage limits and deductibles to apply"
LOC-009,"Location Business Interruption Detail Id: %d was not found for Location Id: %d"
LOC-010,"Location Building Attribute Id: %d was  not found for Location Id: %d"
LOC-011,"Insufficient information to geocode the location. Please provide additional address information. The minimum required fields are: City & State, ZIP Code, OR Latitude & Longitude"
LOC-012,"The primary building of a multi-building site cannot be deleted. To delete this building, configure it as a secondary building."
LOC-013,"Multiple locations with the same site name can only have 1 Primary Building selected. Only one location can be the Primary Building if multiple locations have the same site name."
LOC-014,"The primary building of a multi-building site cannot be modified. To modify this building, configure it as a secondary building. Modifications cannot be made to Location Id: %d"
LOC-015,"%s cannot be assigned to secondary buildings on a multi-building campus."
LOC-016,"Ensure location is geocoded before running hazard lookup"
LOC-017,"Start date should be less than or equal to Completion date"
LOC-018,"%s"
LOC-019,"Database error occurred while retrieving Location Id: %d"
LOC-020,"Site Limit should be between 0 to 1e+14"
LOC-021,"Site Deductible should be between 0 to 1e+14"
LOC-022,"Location Coverage label may not be empty and label id should not be 0"
LOC-023,"Invalid input. There are no locations associated with the given exposure"
LOC-024,"Inception date should be less than or equal to Expiration date"
LOC-025,"Location Earthquake Detail Id: %d was not found for Location Id: %d"
LOC-026,"Location Windstorm Detail Id: %d was not found for Location Id: %d"
LOC-027,"Location Flood Detail Id: %d was not found for Location Id: %d"
LOC-028,"Location Fire Detail Id: %d was not found for Location Id: %d"
LOC-029,"Location Terrorism Detail Id: %d was not found for Location Id: %d"
LOC-030,"Location Tornado Detail Id: %d was not found for Location Id: %d"
LOC-031,"Location Coverage Id: %d was not found"
LOC-032,"Location Reinsurance Cession Id: %d was not found for Location Id: %d"
LOC-033,"Location Workers Compensation Id: %d was not found for Location Id: %d"
LOC-034,"Location Condition Id: %d was not found for Location Id: %d"
LOC-404,"%s"
LOC-500,"Database error occurred while searching locations"
LOC-501,"Database error occurred while retrieving Location Id: %d"
LOC-502,"Database error occurred while loading location currency information for Location Id: %d"
LOC-503,"Database error occurred while loading parent account information for Location Id: %d"
LOC-504,"Database error occurred while creating location"
LOC-505,"Database error occurred while deleting Location Id: %d"
LOC-506,"Database error occurred while updating Location Id: %d"
LOC-508,"Database error occurred while performing bulk edit of locations under Account Id: %d"
LOC-512,"Database error occurred while checking if Location Reinsurance Cession Id: %d exists for Location Id: %d"
LOC-514,"Database error occurred while retrieving Location Reinsurance Cession Id: %d for Location Id: %d"
LOC-515,"Database error occurred while creating location reinsurance cession for Location Id: %d"
LOC-516,"Database error occurred while updating Location Reinsurance Id: %d for Location Id: %d"
LOC-517,"Database error occurred while deleting Location Reinsurance Id: %d for Location Id: %d"
LOC-518,"Database error occurred while checking if Location Earthquake details Id: %d exists"
LOC-519,"Database error occurred while retrieving location earthquake details for Location Id: %d"
LOC-520,"Database error occurred while retrieving Location Earthquake details Id: %d"
LOC-521,"Database error occurred while creating location earthquake details for Location Id: %d"
LOC-522,"Database error occurred while updating Earthquake details Id: %d for Location Id: %d"
LOC-523,"Database error occurred while deleting Earthquake details Id: %d for Location Id: %d"
LOC-524,"Database error occurred while checking if Location Flood details Id: %d exists"
LOC-525,"Database error occurred while retrieving location flood details for Location Id: %d"
LOC-526,"Database error occurred while retrieving Location Flood details Id: %d"
LOC-527,"Database error occurred while creating location flood details for Location Id: %d"
LOC-528,"Database error occurred while updating Flood details Id: %d for Location Id: %d"
LOC-529,"Database error occurred while deleting Flood details Id: %d for Location Id: %d"
LOC-530,"Database error occurred while checking if Location Fire details Id: %d exists"
LOC-531,"Database error occurred while retrieving location fire details for Location Id: %d"
LOC-532,"Database error occurred while retrieving Location Fire details Id: %d"
LOC-533,"Database error occurred while creating location fire details for Location Id: %d"
LOC-534,"Database error occurred while updating Fire details Id: %d for Location Id: %d"
LOC-535,"Database error occurred while deleting Fire details Id: %d for Location Id: %d"
LOC-536,"Database error occurred while checking if Location Windstorm details Id: %d exists"
LOC-537,"Database error occurred while retrieving location windstorm details for Location Id: %d"
LOC-538,"Database error occurred while retrieving Location Windstorm details Id: %d"
LOC-539,"Database error occurred while creating location windstorm details for Location Id: %d"
LOC-540,"Database error occurred while updating Windstorm details Id: %d for Location Id: %d"
LOC-541,"Database error occurred while deleting Windstorm details Id: %d for Location Id: %d"
LOC-542,"Database error occurred while checking if Location Tornado details Id: %d exists"
LOC-543,"Database error occurred while retrieving location tornado details for Location Id: %d"
LOC-544,"Database error occurred while retrieving Location Tornado details Id: %d"
LOC-545,"Database error occurred while creating location tornado details for Location Id: %d"
LOC-546,"Database error occurred while updating Tornado details Id: %d for Location Id: %d"
LOC-547,"Database error occurred while deleting Tornado details Id: %d for Location Id: %d"
LOC-548,"Database error occurred while checking if Location Terrorism details Id: %d exists"
LOC-549,"Database error occurred while retrieving location terrorism details for Location Id: %d"
LOC-550,"Database error occurred while retrieving Location Terrorism details Id: %d"
LOC-551,"Database error occurred while creating location terrorism details for Location Id: %d"
LOC-552,"Database error occurred while updating Terrorism details Id: %d for Location Id: %d"
LOC-553,"Database error occurred while deleting Terrorism details Id: %d for Location Id: %d"
LOC-554,"Database error occurred while checking if Location Worker Compensation details Id: %d exists"
LOC-556,"Database error occurred while retrieving Location Worker Compensation details Id: %d"
LOC-557,"Database error occurred while creating location worker compensation details for Location Id: %d"
LOC-558,"Database error occurred while updating Worker Compensation details Id: %d for Location Id: %d"
LOC-559,"Database error occurred while deleting Worker Compensation details Id: %d for Location Id: %d"
LOC-560,"Database error occurred while checking if Location Business Interruption details Id: %d exists"
LOC-562,"Database error occurred while retrieving Location Business Interruption details Id: %d"
LOC-563,"Database error occurred while creating location business interruption details for Location Id: %d"
LOC-564,"Database error occurred while updating Business Interruption details Id: %d for Location Id: %d"
LOC-565,"Database error occurred while deleting Business Interruption details Id: %d for Location Id: %d"
LOC-566,"Database error occurred while checking if Location Coverage details Id: %d exists"
LOC-567,"Database error occurred while checking coverage dependency for Location Id: %d"
LOC-568,"Database error occurred while retrieving Location Coverage details Id: %d"
LOC-569,"Database error occurred while creating location coverage details for Location Id: %d"
LOC-570,"Database error occurred while updating Coverage details Id: %d for Location Id: %d"
LOC-571,"Database error occurred while deleting Coverage details Id: %d for Location Id: %d"
LOC-573,"Database error occurred while calculating number of employees for Location Id: %d"
LOC-574,"Database error occurred while checking if Building Attribute details Id: %d exists"
LOC-575,"Database error occurred while creating building attribute details for Location Id: %d"
LOC-576,"Database error occurred while updating Building Attribute details Id: %d for Location Id: %d"
LOC-577,"Database error occurred while deleting Building Attribute details Id: %d"
LOC-578,"Database error occurred while checking if Location Condition details Id: %d exists for Location Id: %d"
LOC-580,"Database error occurred while retrieving Location Condition details Id: %d"
LOC-581,"Database error occurred while creating location condition details for Location Id: %d"
LOC-582,"Database error occurred while updating Condition details Id: %d for Location Id: %d"
LOC-583,"Database error occurred while deleting Condition details Id: %d for Location Id: %d"
LOC-584,"Database error occurred while retrieving policy conditions list by Location Id: %d"
LOC-585,"Database error occurred while querying location information for Location Id: %d"
LOC-586,"Error occurred while geocoding Location Id: %d"
LOC-587,"Error occurred while geocoding Street Address: %s"
LOC-588,"Error occurred while running hazard on Location Id: %d"
LOC-589,"Error occurred while running hazard on Street Address: %s"
LOC-590,"Database error occurred while checking if Construction Class valid for Building Class Scheme: %s, Building Class: %s"
LOC-591,"Database error occurred while checking if Occupancy Type valid for Occupancy Type Scheme: %s, Occupancy Type: %s"
LOC-592,"Database error occurred while checking if MSB Construction Class valid for Building Class Scheme: %s, Building Class: %s"
LOC-593,"Database error occurred while retrieving Construction Code for Building Class Scheme: %s, Building Class: %s"
LOC-594,"Database error occurred while retrieving MSB Construction Code for ATC Constriction Code: %s"
LOC-595,"Database error occurred while retrieving Occupancy Code for Occupancy Type Scheme: %s, Occupancy Type"
LOC-596,"Database error occurred while retrieving Location IDs for the AccountId: %d"
LOC-601,"Database error occurred while checking if location is primary building for Multi-Building campus for Location Id: %d"
LOC-602,"Database error occurred while getting count of secondary buildings for Multi-Building campus for Location Id: %d"
LOC-603,"Database error occurred while checking if location is secondary building for Multi-Building campus for Location Id: %d"
LOC-604,"Database error occurred while checking if site name is unique"
LOC-605,"Database error occurred while retrieving site names for Account Id: %d"
LOC-606,"Database error occurred while back filling policy conditions for Location Id: %d and Condition Id: %d"
LOC-607,"MSB security token authorization failure"
LOC-608,"Error occurred while updating the enhanced building attributes for ESDB"
LOC-609,"Multiple Combined Coverage entries on a location are not allowed for a single peril"
LOC_RES-001,"No data found for export fields and perspectives"
LOC_RES-002,"No loss nor exposure found for analysis/account"
LOC_RES-003,"No location results schema found for analysis id %s"
MAP-001,"Credentials are required to access this resource"
MAP-002,"There aren't any locations or address details for latitude and longitude are missing!"
MAP-PERSPECTIVE-001,"The source perspective code %s is invalid. Please check that your request specifies a valid perspective."
MAP-PERSPECTIVE-002,"The target perspective code %s is invalid. Please check that your request specifies a valid perspective."
MAP-PERSPECTIVE-003,"Sorry, we encountered an error on our end while mapping perspective for analysis id %d. Contact Support at support@rms.com."
MAP-PERSPECTIVE-004,"Sorry, the target and source perspectives cannot be the same. Enter a target perspective different than the source perspective."
MAP-PERSPECTIVE-005,"Sorry, perspective mapping is not supported for this analysis. Please enter a non HD or non-simulated DLM analysis ID."
MAP-PERSPECTIVE-006,"Sorry, you can map perspective only for portfolio or aggregate portfolio analyses."
METADATA-001,"Error occurred while inserting a record in rdm metadata for analysis id : %d"
METADATA-002,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still doesn't work."
METADATA-003,"Database error occurred while deleting records for the analysis id : %d"
METADATA-004,"Database error occurred while populating materialized metadata table for tenant id: %s"
MGMT-001,"Request is missing property: %s"
MGMT-002,"Unable to acquire service name"
MGMT-003,"Error reading properties file"
MGMT-004,"Conflicting operation in-progress"
MGMT-005,"Invalid DB Key"
MGMT-006,"Can not delete currently active DB server"
MGMT-007,"S3 error while copying results schema to tenant loss bucket"
MGMT-008,"Tenant not found"
MGMT-009,"Failed to submit tenant job"
MGMT-010,"Failed to retrieve tenant entitlements"
MGMT-011,"Database error reading tenant package with packageId: %s"
MGMT-012,"Error reading tenant entitlement for tenant: %s"
MGMT-013,"Failed to retrieve EDMs"
MGMT-014,"Failed to lock EDM"
MGMT-015,"Failed to unlock EDM"
MGMT-016,"Failed to retrieve tenant db migration sub task"
MGMT-017,"Failed to retrieve tenant db migration edm status"
MGMT-018,"Failed to update tenant db migration sub task"
MGMT-019,"Failed to insert tenant db migration sub task"
MGMT-020,"Failed to update tenant db migration edm status"
MGMT-021,"Failed to insert tenant db migration edm status"
MGMT-022,"Failed to update database connection string"
MGMT-023,"Failed to get engine input"
MGMT-024,"Failed to do backup operation on database: %s"
MGMT-025,"Failed to do restore operation on database: %s"
MGMT-026,"Failed to retrieve Data Bridge notification status"
MGMT-027,"Failed to update Data Bridge notification sub task"
MGMT-028,"Failed to insert Data Bridge notification sub task"
MGMT-029,"Failed to get Data Bridge notification sub task"
MGMT-030,"Tenant is missing the required package entitlement for: %s"
MGMT-031,"The provided task id does not belong to this tenant"
MGMT-032,"The previous call to delete this tenant did not complete successfully.  Please re-run the tenant delete before attempting to re-onboard."
MGMT-033,"There was an error while creating event info database %s"
MGMT-034,"There was an error while restoring geohazard database %s to server %s"
MGMT-035,"There was an error while creating the geohazard database restore task for id %s"
MGMT-036,"Failed to add common bucket IAM role to server %d for tenant %s"
MGMT-037,"Failed to upgrade RDS server %s for tenant %s"
MGMT-038,"Failed to get validation result for DB type: %s, tenantId: %s"
MGMT-039,"Validations failed on Tenant DB: %s, tenantId: %s"
MP-001,"Sorry, we could not submit this analysis. To resolve this issue, contact Support at support@rms.com."
MP-002,"Sorry, we encountered an error processing the input you provided for running this analysis. Validate the input and try again. Contact Support at support@rms.com if this still doesn't work."
MP-003,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still does not work."
PARQUET2RDM-001,"Could not parse URL, reason %s"
PARQUET2RDM-002,"Sorry, we cannot process this job because a job on analysis ID %s is already running. Wait for the job to finish before you run this new job"
PARQUET2RDM-003,"Unable to acquire lock"
PARQUET2RDM-004,"Sorry, something is wrong with this data submitted for RDM download. Check the properties and format of the results data and try again. If this still does not work, contact Support"
PARQUET2RDM-006,"Sorry, download of these results will not work right now. It could be that post-analysis treaty editing is being performed on these results. Wait and try again."
PARQUET2RDM-007,"Sorry, we encountered an error while creating the export RDM job. Try again. If this still doesn't work, contact Support."
PATE-001,"PATE id in URL and body must match"
PATE-002,"Database error occurred while creating pate with treaty number: %s"
PATE-003,"Database error occurred while updating pate with pateId: %d"
PATE-004,"Database error occurred while deleting pate with pateId: %d"
PATE-005,"Database error occurred while getting a list of pate treaties"
PATE-006,"Database error occurred while deleting a list of pate treaties"
PATE-007,"Treaty number %s already exists. Check if new added treaties having a valid (unique) treaty number and an occurrence limit greater than zero."
PATE-008,"Database error occurred while retrieving a list of pate lobs with treatyId: %d"
PATE-009,"Analysis ID %d is not valid for post-analysis treaty editing. Check that the exposure type is portfolio or aggportfolio and the analysis type is EP."
PATE-010,"Cannot delete Treaty with type: %s"
PATE-011,"Invalid Operation type for Treaty id: %d"
PATE-013,"Database error occurred while deleting pate treaties in a batch for analysis id: %d"
PATE-014,"We cannot process this job because a job on this result is already running."
PATE-015,"Database error occurred while acquiring lock"
PATE-016,"Database error occurred while updating lock metadata"
PATE-017,"Attempt to acquire lock failed. Lock has been acquired by a different process."
PATE-018,"We cannot process this job because you have not made any changes."
PATE-019,"Database error occurred while checking PATE records for analysis id: %d"
PATE-020,"TenantId was not available from thread context for operations on pate treaties"
PATE-021,"A group of PATE treaties cannot be deleted because one of the treaties is marked not for deletion"
PATE-022,"Database error occurred while retrieving treaty type"
PATE-023,"Sorry, you've provided an invalid operationType for one of the input properties. INSERT is valid operationType for insert property. DELETE is valid operationType for delete property. UPDATE is valid operationType for update property."
PATE-024,"Sorry, looks like the treatyID is missing or invalid. For delete and update properties, treatyID must be greater than zero."
PATE-025,"Sorry, looks like the input for running PATE on an HD analysis is missing or invalid. Please provide a valid input for the request."
PATE-026,"Sorry, looks like the input for running PATE on an HD analysis is invalid. For insert property, the treatyID must be zero."
PATE-027,"Use only positive numbers for the hours clause. Negative numbers are not supported."
PATE-028,"Do not include radius clauses for treaties added post analysis. They are not supported."
PATE-029,"Treaty type cannot be blank. Enter one of the following treaty types: Catastrophe, Corporate, Stop Loss"
PLATFORM-001,"Sorry, something might be wrong at our end. We failed to load the currency scheme. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-002,"Sorry, something might be wrong at our end. We failed to load the event rate scheme. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-003,"Sorry, something might be wrong at our end. We failed to load the event rates. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-004,"Sorry, something might be wrong at our end. We failed to load the model profile. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-005,"Sorry, something might be wrong at our end. We failed to load the output profile. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-006,"Sorry, something might be wrong at our end. We failed to load the ALM profiles. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-007,"Sorry, something might be wrong at our end. We failed to load the default ALM profiles. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-008,"Sorry, something might be wrong at our end. We failed to load the footprint event. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-009,"Sorry, something might be wrong at our end. We failed to load the currency vintage. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-010,"Sorry, something might be wrong at our end. We failed to load the default event rate schemes. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-011,"Sorry, something might be wrong at our end. We failed to load the cost severity scheme. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-012,"Sorry, something might be wrong at our end. We failed to load the cost severity averages. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-013,"Sorry, something might be wrong at our end. We failed to load the cost severity CVs. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-014,"Sorry, something might be wrong at our end. We failed to load the model region hierarchy. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-015,"Sorry, the currency scheme is invalid. Specify a valid currency and try again."
PLATFORM-016,"Sorry, the model profile is invalid. Specify a valid model profile and try again."
PLATFORM-017,"Sorry, the output profile is invalid. Specify a valid output profile and try again."
PLATFORM-018,"Sorry, the footprint event is invalid. Specify a valid footprint event and try again."
PLATFORM-019,"Sorry, the currency vintage is invalid. Specify a valid currency and try again."
PLATFORM-020,"Sorry, something might be wrong at our end. We failed to find the simulation set. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-021,"Sorry, something might be wrong at our end. We failed to load the simulation set. Try again, and contact Support at support@rms.com if this still does not work."
PLATFORM-022,"Sorry, something might be wrong at our end. We failed to load the event loss adjustment scheme. Try again, and contact Support at support@rms.com if this still does not work."
POL-000,"Sorry, looks like something might be wrong at our end. Try this again, and if it still doesn't work, contact Support at support.rms.com."
POL-001,"Policy %d was not found"
POL-002,"User does not have sufficient permissions on Policy Id: %d"
POL-003,"Policy Effective date must be less than Policy Expiration Date."
POL-004,"Facultative cession layer information is mandatory when reinsurance cession is Facultative"
POL-005,"Treaty information is mandatory when reinsurance cession is Treaty"
POL-006,"Policy Coverage Id: %d for Policy %d was not found"
POL-007,"Policy Reinsurance Cession Id: %d for Policy %d was not found"
POL-008,"Policy Condition Id: %d for Policy %d was not found"
POL-009,"Policy Criteria Id: %d for Policy Condition Id: %d was not found"
POL-010,"Condition Id: %d was not found"
POL-011,"Parent Account Id: %d was not found for Policy Id: %d"
POL-012,"%s"
POL-013,"Policy %s is required"
POL-014,"%s may not be null"
POL-404,"%s"
POL-500,"Database error occurred while retrieving Policy Id: %d"
POL-501,"Database error occurred while checking if Policy Id: %d exists"
POL-502,"Database error occurred while creating policy, reason: %s"
POL-503,"Database error occurred while retrieving policy by Link Id: %s"
POL-504,"Database error occurred while retrieving policy metrics for Policy Id: %d"
POL-505,"Database error occurred while deleting Policy Id: %d"
POL-506,"Database error occurred while updating policy, reason: %s"
POL-507,"Database error occurred while retrieving countries covered by Policy Id: %d"
POL-508,"Database error occurred while copying Policy Id: %d"
POL-509,"Database error occurred while mapping policy id %d with user %d"
POL-510,"Database error occurred while saving policy details for Policy Id: %d"
POL-511,"Database error occurred while searching policies"
POL-512,"Database error occurred while checking policy permissions for Policy Id: %d"
POL-514,"Database error occurred while retrieving location coordinates covered by Policy Id: %d"
POL-515,"Database error occurred while loading parent account information for Policy Id: %d"
POL-516,"Database error occurred while loading policy currency information for Policy Id: %d"
POL-517,"Database error occurred while performing bulk edit of policies under Account Id: %d"
POL-518,"Database error occurred while checking if Policy Coverage Id: %d exists for Policy Id: %d"
POL-519,"Database error occurred while retrieving policy coverages for Policy Id: %d"
POL-520,"Database error occurred while retrieving Policy Coverage Id: %d"
